"Time (s)","X (cm)","Y (cm)"
"0","0.8725746","-1.354359"
"0","1.10307","-1.360262"
"0","1.363385","-1.376768"
"0","1.51551","-1.382058"
"0","1.745456","-1.396639"
"0","1.940416","-1.413357"
"0","2.179038","-1.428487"
"0","2.425509","-1.457184"
"0","2.718881","-1.501922"
"0","2.993799","-1.562914"
"0","3.377458","-1.626446"
"0","3.93542","-1.757657"
"0","4.182933","-1.838692"
"0","4.475681","-1.887676"
"0","4.796096","-1.958454"
"0","5.187882","-2.031213"
"0","5.597507","-2.166086"
"0","5.963257","-2.237194"
"0","6.398915","-2.373719"
"0","6.718809","-2.481124"
"0","7.123821","-2.620061"
"0","7.301251","-2.656044"
"0","7.572868","-2.769098"
"0","7.987658","-2.891232"
"0","8.365052","-2.984859"
"0","8.883355","-3.191964"
"0","9.223287","-3.326775"
"0","3.617191","-1.697656"
"0","9.655119","-3.486981"
"0","10.07736","-3.652857"
"0","10.49375","-3.911095"
"0","1.002562","-1.348054"
"0","1.263907","-1.338551"
"0","1.634494","-1.388124"
"0","1.832498","-1.418061"
"0","2.049462","-1.423127"
"0","2.25722","-1.436301"
"0","2.499056","-1.460327"
"0","2.884761","-1.545623"
"0","2.602935","-1.466913"
"0","3.100078","-1.576659"
"0","3.22828","-1.610863"
"0","3.477126","-1.661407"
"0","3.708658","-1.710854"
"0","3.879046","-1.765115"
"0","4.08406","-1.821571"
"0","4.350767","-1.864556"
"0","4.668317","-1.928148"
"0","4.932829","-2.005761"
"0","5.095658","-2.04216"
"0","5.344504","-2.092705"
"0","5.48947","-2.136662"
"0","5.946624","-2.191724"
"0","5.747522","-2.179099"
"0","6.099698","-2.244886"
"0","6.241371","-2.340784"
"0","6.556725","-2.439003"
"0","6.966204","-2.560573"
"0","7.436279","-2.685985"
"0","7.707801","-2.790115"
"0","7.834906","-2.841632"
"0","8.177876","-2.915527"
"0","8.466163","-3.029412"
"0","8.686843","-3.112936"
"0","9.009377","-3.217443"
"0","9.109963","-3.27597"
"0","9.406906","-3.390404"
"0","9.552972","-3.417048"
"0","9.794682","-3.580128"
"0","9.898561","-3.586715"
"0","10.21983","-3.728765"
"0","10.36315","-3.798693"
"0","10.49025","-3.850209"
